Number,Headline
1.,Go: Redefining For Loop Variable Semantics
2.,Private Prisons Are Behind the Push for Homeless Criminalization
3.,How Wine works 101
4.,Human Motion Diffusion Model
5.,Vectis IP Announces Call for Patents Essential to the Opus codec
6.,"Show HN: InvokeAI, an open source Stable Diffusion toolkit and WebUI"
7.,Microbes that cause cavities can form superorganisms able to ‘crawl’
8.,"Command line and local web note‑taking, bookmarking, archiving application"
9.,Artificial superstrong silkworm silk surpasses natural spider silks
10.,Making an ML Invisibility Cloak
11.,Deepnote (YC S19) is hiring to build a better data science notebook (Europe)
12.,Show HN: Satori – Convert HTML and CSS to SVG
13.,SmooshGate (2021)
14.,RCE via GitHub import
15.,The Forgotten Revolution
16.,A Continuum of Persistent Non-Symbolic Experiences in Adults (2013)
17.,Science is the belief in the ignorance of experts
18.,Running Vacuum Full in Non-Blocking Mode
19.,Ask HN: How did you stop drinking?
20.,JEP draft: 64 bit object headers
21.,The Man Who Stole the Mona Lisa and Took It to Italy
22.,How much faster is making a tar archive without gzip?
23.,U.S. Army Chooses Google Workspace
24.,Improving Firefox Responsiveness on macOS
25.,AI-driven thermal cameras used to obtain passwords
26.,"VirtualBox 7.0 Released – Full VM Encryption Support, New Direct3D Acceleration"
27.,Sensisble Soccer
28.,Scientists are finding fungi in cancerous tumors
29.,“This removes a.out support globally”
30.,Do central banks’ mounting losses actually matter?
